Topic,k_chunks,GEval 4o score,GEval 4o-mini score
Alcohol_dehydrogenase,50,0.46442327957000434,0.6891105125000251
Alcohol_dehydrogenase,50,0.4880175183426697,0.7738413083710542
Alcohol_dehydrogenase,50,0.46005896412027764,0.7836985345645052
Alcohol_dehydrogenase,50,0.45440014324791694,0.8355958956782163
Alcohol_dehydrogenase,50,0.5429353087458035,0.8196446997523423
Alcohol_dehydrogenase,100,0.6510095072576012,0.8342044240097861
Alcohol_dehydrogenase,100,0.41467759339530863,0.7616487328261397
Alcohol_dehydrogenase,100,0.4832621506656657,0.5923756468845919
Alcohol_dehydrogenase,100,0.4938708627477217,0.6987824412405073
Alcohol_dehydrogenase,100,0.4863960197753882,0.5108555975977818
Beta_2_microglobulin,50,0.5044805736426882,0.7887902007209332
Beta_2_microglobulin,50,0.44248989846395936,0.7294521151309176
Beta_2_microglobulin,50,0.4021536289292492,0.6591299192661959
Beta_2_microglobulin,100,0.468894846053913,0.7712590241469772
Beta_2_microglobulin,100,0.4987179776535121,0.6655063816820449
Beta_2_microglobulin,100,0.53646964515048,0.702553982738739
Catalase,50,0.5549505254277006,0.7843409772919732
Catalase,50,0.4934895943337282,0.7277567333782157
Cytochrome_c,50,0.5649647190716005,0.6093042316012778
Catalase,50,0.5412931466828831,0.7221062748214148
Cytochrome_c,50,0.6784045692380157,0.6524969796645996
Catalase,100,0.5467962281466782,0.8355062908814048
Cytochrome_c,50,0.5553350992048369,0.5757941289628729
Catalase,100,0.6756004478323117,0.8674365251701504
Cytochrome_c,100,0.5564374733867695,0.7453850380825588
Catalase,100,0.5897990582504866,0.6584983073663462
Cytochrome_c,100,0.5580428111819374,0.6735163082817552
Cytochrome_c,100,0.6369697053683961,0.7233208896482417
Ferritin,50,0.5312154542338149,0.7075420326802057
Ferritin,50,0.5090147417917733,0.831057727439427
Ferritin,50,0.44700840237095407,0.7417555539290894
FtsZ,50,0.4827926451668139,0.5852826074553095
Ferritin,100,0.4904079776472791,0.714389898394539
Green_fluorescent_protein,50,0.7382054692806437,0.7786144313435152
Ferritin,100,0.5396993598958535,0.7933082729068484
FtsZ,50,0.4779583641127669,0.7925573344625696
Green_fluorescent_protein,50,0.618730789131375,0.7921400863790165
